0-آثارنا المنهوبة_23_p037_6911490a;An Adami statue.;A marble statue of a bald man carrying a small animal may be a rabbit to present as a offering, and the statue in a parking position. The man has two prominent eyes for the shape and nose pinned down. The statue was executed precisely by the sculpted sculpture and the clear features of the man dating back from the first to the second century to the Mela dee in the california group's holdings.;Marble.;1st to 2nd century AD;Size 3.25 inches, 8.3 cm high.;LiveAuctioneers;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p038_02aca612;LiveAuctioneers;;تمثل الدولة القتبانية جنوب الجزيرة العربية;https://www.liveauctioneers.com/item/13735386_29;Watch.;He saw a tomb of a man made of marble, a face with a bright nose, two eyeballs carved with a luze shape, two diners in the pupils. The lips of the mouth were carved with thick lips, dating back to about the first thousand before the Miles, representing the southern Arab island, which is among the acquisitions of the California group.;Marble.;The first millennium before the Miles.;5 1/2 W7.;LiveAuctioneers;;The State represents the southern part of the Arab island.;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p039_bb7ad38f;;https://www.liveauctioneers.com/item/70864655_western-south-asiatic-inscribed-arabian-stele;Watch.;He saw a grave from the polished limestone, the face of a man who was bearded with the eyes of a two-eyed restaurant that had been disinfected, a straight and smashing nose, two distinct ears, and the face at the bottom of which was written in the line of the blade, which came back for a period of the first century before the miles to the second century.;Jerry's Stone.;The 2nd century before the Miles. The Miles.;"5 kg, 27.5 cm (10 3/4 "")";LiveAuctioneers;Nose is straight and smashed, vaccinations are removed, ears are prominent.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p040_038da38c;كسر الجزء الاسفل من الشاهد; وإزالة التطعيم من العينين;;https://www.liveauctioneers.com/item/83812773_south-arabian-stele;Watch.;He saw a grave of polished limestone representing the face of a man with eyes for his diner's almonds removed, whose vaccination and ear were prominent, breaking the lower part of the witness. The pearls from the first century B.C. to the third century C.D. were found within the property of a gentleman from north London.;Jerry's Stone.;The third-first century before the Miles.;Total 3.6 kg, 29 cm including pregnant (11 1/2 inches);LiveAuctioneers;Break the lower part of the witness, remove the vaccination from the eyes.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p041_e38d3616;A statue.;A statue of the right bronze represents the camel's animal, and it's in motion, and the camel's thighs and tails and feet appear, and the statue rises a layer of bronze rusty that goes back to the first thousand before the miles into California's holdings.;Bronze.;The first millennium before the Miles.;2.375 in length;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p042_df532a8f;https://www.liveauctioneers.com/item/47334969_western-south-asiatic-arabian-statuette;Amulet.;A mascot of stone in the shape of a man in a position of worship with a lens eye and a triangle nose and two hands on the chest.;Jerry's Stone.;The second century before the miles. The second century. The miles.;28 grams, 1 1/2 inches;LiveAuctioneers;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p043_8b4c9199;A tombstone.;He saw a grave of marble representing a woman with a face full of polished polished and straight, and the face was exposed to the damage of a nose and mouth, which was a thick lip, which had ears of light, which came back for a thousand thousand years before the Miled.;Jerry's Stone.;Late First Millennium before Miles to the early 2000s.;5.25 x 8.1 inches (13.3 x 20.6 cm);;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p044_c0f20c38;القرن الأول قبل الميالد- القرن الأول الميالدي;9 3/4 بوصة × 5 بوصات ارتفاع;LiveAuctioneers;;ضمن مقتنيات مجموعة لندن;https://www.liveauctioneers.com/item/62250492_ancient-arabian-south-bc-cen-c1st-stele-face-limestone;A tombstone.;He saw a tomb of a man with a full face, a long and straight nose, a thick lips, eyes of Luzitan, under the face written in the letterhead, representing the name of the witness, dating back to the first century before the Miled-First Century, which is among the acquisitions of the London Group.;Jerry's Stone.;The first century before the miles - the first century.;9 3/4 inches x 5 inches high;LiveAuctioneers;;Among the London Group's holdings.;;;;;;;;;;;
0-آثارنا المنهوبة_23_p045_efca2cf1;كسر الجزء الاسفل من الشاهد;;https://www.liveauctioneers.com/item/27124678_south-painted-arabian-stele-limestone;A tombstone.;He saw a grave of polished limestone representing the face of a man who was bearded by the eyes of a two-eyed restaurant whose vaccination was removed, whose nose was straight and whose ears were prominent, who broke the lower part of the witness, whose pearls dated back from the first century before the miles to the second century, and found them within the property of the California group.;Jerry's Stone.;The first-second century is the Miledi.;;LiveAuctioneers;Broke the lower part of the witness.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p046_e3d25603;وهي ضمن مقتينات رجل نبيل من لندن.;https://www.liveauctioneers.com/item/70864658_western-south-asiatic-vessel-lidded-arabian;Chair;A funeral bowl made of marble, a drum-shaped one-third-foot-long casket, was used to preserve the aromatic material and the yogurt of the boat, the second horn before the Mayald-second century, which is among the possessions of a gentleman from London.;Marble.;The 2nd century before the Miled - 2nd century;1.06 kg, 10.5 cm, 4 1/8 &quot;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p048_18cbe10e;He carved the bull's animal.;A small marble statue of a small, unclear-shaped animal represents perhaps the bull, which is stuck in the walls like two knots, and the hole on the back of the statue indicates that it goes back to the second century after the miles.;Jerry's Stone.;The second century after the miles.;5.25 times 6 inches.;LiveAuctioneers;It's small-shaped and unclear.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p049_dd733e4c; 12 بوصة;LiveAuctioneers;كسر الجزء الاسفل من الشاهد;;https://www.liveauctioneers.com/item/73860457_western-south-asiatic-fragment-bust-arabian;Watch.;He saw a grave of polished limestone representing the face of a man with eyes for his diner's almonds removed, and a straight nose and ears, breaking the lower part of the witness. For the first century, pre-Mildian to the second century, he came back and found it within the property of a gentleman from north London;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p050_e7d6c043;https://www.liveauctioneers.com/item/72677761_a-bc-arabian-south-century-1st-circa-head-alabaster;Watch.;He saw a grave of polished marble representing the face of a man with eyes of blues, his restaurant, his nose straight, and two prominent ears dating back from the first century before the miles to the second century and found within the British special group of Mr. S, obtained in the 1990s.;Marble.;About the first century before the miles.;21.9 cm high;LiveAuctioneers;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p051_19424dd9;An Adami statue.;A statue of a perfect man in the hair-stand position is scheduled and handed back with the eyes of Loztin and the nose straight. The facial features are unclear. The period of the first century goes back to the Miles on the second century.;Jerry's Stone.;100 BC-100mm.;"The height is 5-7/8.""";LiveAuctioneers;Facial features are unclear.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p052_9ff6d97a;Shahida is a grave.;A marble, written in the line, which is made up of two parts, may have been broken into two or two separate parts of the algae written on the marble, which was carried out for a period of the first century before the miles to the second century and found within the property of Mrs. Mayfair;;;;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p053_a6127312;حجر جيري;األلفية الأولى قبل الميالد;"5.25 بوصة × 9.6 بوصة (13.3 سم ارتفاع × 24.4 سم)؛ 10.75 بوصات (27.3 سم)";LiveAuctioneers;;;https://www.liveauctioneers.com/item/69255761_south-stone-arabian-inscription-with-relief-bull;A tombstone.;He was given a mural in the form of a Jerry Stone, from which Thor's head appeared with clear facial glimpses, and two prominent eyes on both sides of the head highlighted the ears, and the horns appeared largely on the top of the bull's head. The two horns had been decorated between the two centuries as he was crossing a symbolic offering to the temples and hanging on the temple walls, and the bottom of the plaque was engraved by the blade.;Jerry's Stone.;First millennium before the Miles.;5.25 inches x 9.6 inches (13.3 centimetres) x 24.4 centimeters);;;;;;;;;;;;;
0-آثارنا المنهوبة_23_p054_c2b635d6;عثر عليها ضمن المجموعة سويسرية خاصة سابقة ; السيد MH ; تم الحصول عليها قبل عام1990.;https://www.liveauctioneers.com/item/61121669_south-arabian-1st-2nd-c-man-a-of-head-alabaster;A tombstone.;A tomb of marble represented a man's head that was carefully executed, with a glimpse of the polished face and eyes dug in the form of a luzzy, a bowed eyebrow, a face full, a straight nose, and a small mouth with lips that came back for a period of the first century, before the miles to the second century, was found in a former Swiss private group, Mr. MH, obtained before 1990.;Marble.;2nd to 1st century before the Miles.;7.6 cm H-3 inches;Liveauctioneers;;Found within a former Swiss private group, Mr. MH, obtained before 1990.;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p001_6adec507;A necklace.;A necklace in the form of a statue of a naked, winged woman made of gold of a unique kind, dominated by the art style in terms of complex composition.;Gold.;Fever period;;Werner Daum Group;Excellent.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p002_6e218938;;https://www.sothebys.com/en/buy/auction/2024/arts-of-the-islamic-world-and-india/a-large-gilt-copper-tombak-candlestick;Ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah.;==History==A large candlestick of copper of sect, commissioned by a man of the legal tiles of Solomon, Turkey, Osmani.;Copper's a cult.;Month of Al-Hajjay 945 h/ May 1539 m/;47.5 cm;sothebys;Very good.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p003_6b5eae07;A gold ring.;A gold ring with an elliptical shape with a red elbow ribbon in the form of a seal depicting two opposite men.;Gold and a creamstone.;Fever period;Stone size 12 x 18 mm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p004_ab94b753;A gold ring.;An oval gold ring with an omelet stone carved on it with a grease letter in the blade line (CLT).;Gold and a creamstone.;First and second century C.E.;Stone size 15 x 20 mm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p005_539ad6f3;Ashmolean image library;جيدة جدا;عليه نقش بخط المسند على القاعدة مكونة من سطر واحد: ب ر أ ك ر ب / م د ر ر م;https://images.ashmolean.org/asset/11455/;A human statue.;A human statue of a man standing on a rectangular base wearing an apron with dark vertical stripes, with his hands stretched forward, with his right hand broken, with shoes on. The face is clear-cut, the nose is visible and the eyes are engraved with a cream-filled album.;A marble stone.;8th to 10th century AD;No rule 17.5 cm (altitude);;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p006_84c0b921;;https://images.ashmolean.org/asset/63388/;Stone engraving.;Tweet of limestone, rectangular form dating back to the reign of the urban king Laz Yelt., consisting of three lines: 1-YR and N/E-A-N-A-A-A-A-L.;Jerry's Stone.;First century before Miled - first century C.D.;21.5 centimeters high.;Ashmolean image library;Good.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p007_bba92ffb;;https://jenikirbyhistory.getarchive.net/media/south-arabian-frieze-with-oryx-heads-walters-2165-b70128;Avery's.;Freeze is a rectangled marble, with a third inch of high-profile carvings of the head of an oak, with a clear face and a straight horn.;A marble stone.;;;The Walters;Good.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p008_4d2fd3f8;https://jenikirbyhistory.getarchive.net/media/south-arabian-relief-with-vines-walters-2167-beea12;Avery's.;A stone of marble rectangle, with two rows of grapes in it, with their leaves in each third row, and three broken rows of limbs.;A marble stone.;;;The Walters;Good.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p009_70022fb3;The Walters;جيدة;;https://jenikirbyhistory.getarchive.net/media/south-arabian-bulls-head-protoma-walters-2140-three-quarter-7df694;The head of a bull's animal statue.;The head of a bull's statue of a clearly salty marble stone, with a glimpse of a clear face, has two horns curved in the shape of a hallucinations, the Alistair century with fractures, the front mediating a prominent sculpture in the form of a triangle that embodies the squirt.;A marble stone.;;;The Walters;Good.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p010_69ca4ac6;https://jenikirbyhistory.getarchive.net/media/south-arabian-head-of-a-ram-walters-2158-three-quarter-e1cb73;The head of a goat's statue.;The head of a statue of a clearly salty goat from a marble stone, with two twisted horns on the back sticking to the back of the head and neck.;A marble stone.;;;The Walters;Good.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p011_de7c463c;https://jenikirbyhistory.getarchive.net/media/south-arabian-statuette-of-a-bull-walters-2155-ee0e7b;A statue of the bull's animal.;A small statue of the bull's animal is visible from the marble stone, standing on a rectangular base.;A marble stone.;;;The Walters;Good.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p012_cb36e5e4;The walters art museum;جيدة;;https://art.thewalters.org/detail/76488/figure-of-a-female-worshiper/;A human statue.;A human statue of the marble stone, small, standing on a thin rectangle base, with his hands stretched forward and broken, with two empty eyes fed with the cream stone.;A marble stone.;The second century before the Miles. The first century. The Miles.;The height 13 3/8 times the width 4 3/4 times the depth 4 5/16 inches (34 x 12 x 11 cm);The walters art museum;Good.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p013_5466316d;A tombstone.;See a tomb of polished marble with a rectangular base written by a single-line engraving engraving.;A marble stone.;Mid-Second Century, Miledie.;The height 5-7/8 times the width 3 15/16 times the depth 3 5/16 in 15 times 10 times 8.4 centimeters);The walters art museum;Good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p014_587c3579;الارتفاع 9 7/16 × العرض 4 5/16 × العمق 2 3/4 بوصة (24 × 11 × 7 سم);The walters art museum;جيدة جداً;;https://art.thewalters.org/detail/76493/head-of-lady-helqeb/;The head of a human statue.;The head of a human statue of the marble stone, with a long neck surrounded by three drifting lines, with a clear glimpse of the face, a broken nose, eyes of Luzitan, a combination of a limestone base with a two-line inscription on it with a two-line blade.;A marble stone.;First century AD;The height 9 7/16 times the width 4 5/16 times the depth 2 3/4 in 24 times 11 x 7 cm);The walters art museum;Very good.;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p015_8de652d6;;https://art.thewalters.org/detail/76480/stela-with-a-bulls-head/;A mural.;Half a mural appears to have broken straight, with Thor's head appearing in the middle of it. In the above, a single line engraving is made up of a single line: 1-A-R-S.;A marble stone.;The third century before the Miles, the Miles.;The height 6 13/16 times the width 3 13/16 times the depth 1 9/16 in 17.3 times 9.7 x 4 cm);The walters art museum;Bad.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p016_7c432e20;ممتازة;;https://art.thewalters.org/detail/76487/stela-with-a-seated-woman/;A mural.;An irregular mural, mediated by an archaic plaque with longitudes, sitting on a chair, with his left hand raised and his right hand stretched backwards. Underneath the plaque is an inscription with a single line on the blade line: hj and t/t mr n.;A marble stone.;Second century, first century BC;The height 8 7/8 times the width 5 11/16 times the depth 1 9/16 (inch) 22.5 times 14.5 times 4 cm;The walters art museum;Excellent.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p017_19d0b722;Face to a human statue.;He saw a grave of marble stone in the form of a clear human face, a muzzle, a straight nose, and an eye-hunter of a luzzy, mediated by the pupils of the eye, the eyebrows, the mustache straight, the moustache in the form of a straight line, the mouth, the white and the little beard below the chin.;Stone. Pass.;7th and 5th centuries before the Miles.;;The Walters;Very good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p018_dfc398a6;;The Walters;جيدة جدا;;https://jenikirbyhistory.getarchive.net/media/south-arabian-head-stela-of-a-man-with-a-full-beard-walters-2130-5ac0fe;Face to a human statue.;He saw the grave of the marble stone in the shape of a man's human face, with a clear glimpse of a face;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p019_6a294d81;A human statue.;A bust of a man who carved with high precision, clear-cut, salty face, clear-cut nose, straight-eyed single-eyed, blue-eyed, hairy ears cut to the top of the shoulder, short hands extended to the left front, arrested on a rectangular base.;Jerry's Stone.;First century AD;;Orbante auction.;Very good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p020_59f8ecef;https://jenikirbyhistory.getarchive.net/media/south-arabian-stela-with-bulls-head-walters-2151-d0eec2?zoom=true;A mural.;A mural, rectangular shape with a bull's head at the bottom of it, engraved with a single line blade: ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪;A marble stone.;;;The Walters;Very good.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p021_a227a653;;https://bertolamifineart.bidinside.com/en/lot/55561/yemenite-alabaster-oil-lamp-19th-century/-;Sacrificed.;A round-shaped saddle of marble stone, mediated by the emergence of a metal limb in the form of a heart that is superior to another, used to hang the saddle.;A marble stone and copper.;Islamic Period;The diameter is 15.5 centimeters.;bertolamifineart.bidinside;Very good.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p022_33194a38;bertolamifineart.bidinside;جيدة جدا;;https://bertolamifineart.bidinside.com/en/lot/55560/yemenite-alabaster-oil-lamp-19th-century/ -;Sacrificed.;A round-shaped saddle of the marble stone, mediated by prosthesis, with a heart-shaped metal edge, used to hang the saddle, its edges carved from above and below with deep lines.;A marble stone and copper.;Islamic Period;The diameter is 30 centimeters.;bertolamifineart.bidinside;Very good.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p023_0ecb35f6;;The Walters;جيدة;;https://jenikirbyhistory.getarchive.net/media/south-arabian-relief-with-a-bulls-head-walters-2139-cf8673;A mural.;He was given a mural from the brown granite stone, mediated by a prominent sculpture of the face of an ox with clear facial glimpses, with two crescent-shaped horns, and the ears below, with the front mediating a prominent sculpture in the form of a triangle embodying the squirt, with a broken mouth.;Granite Stone.;;;The Walters;Good.;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p024_dec4451a;https://bertolamifineart.bidinside.com/en/lot/55528/yemenite-black-stone-oil-lamp-8th-10th/-;Sacrificed.;Triangular saddle from the black pyrotechnic stone, with a handle on the back end.;Black stone... on fire.;8th to 10th century AD;15 cm long;bertolamifineart.bidinside;Very good.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p025_de34ae55;;https://jenikirbyhistory.getarchive.net/media/south-arabian-plaque-of-a-man-walters-20071735-bb63ad;Bronze board.;A plaque of bronze depicts a man wearing a costume to the top of his knees. He wears his helmet on the head, turns a snake in front of his face, and a bird's shoulder. On the top of the plaque, he establishes a small statue of a man who is upside down on one of his clearly salty sides.;From the bronze.;Around the 3rd century, 1 before the miles.;;The Walters;Very good.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p026_e8ab5e07;جيدة جداً;;https://art.thewalters.org/detail/76495/pendant-with-human-face/;A necklace.;A necklace of iron, medievally mediated by a human head wearing a turban, a master maker, above the necklace a hole in the window.;Iron.;1st to 5th century AD;2 11/16 x 1 9/16 x depth 1 (inch) (6.8 x 4 x 2.5 cm);The walters art museum;Very good.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p027_ae3c4f62;https://images.ashmolean.org/asset/63386/;Parts of a mural.;Parts of a mural, prominently carved in the form of a human and another fabulous animal.;Jerry's Stone.;5th century 6th century AD;33 cm high.;Ashmolean image library;Bad.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p028_5d8aee21;https://jenikirbyhistory.getarchive.net/media/south-arabian-head-stela-of-a-man-with-a-full-beard-walters-2130-5ac0fe;Human statues.;Six faces of human statues of marble stone, different sizes and shapes with clear and unclear glimpses.;A marble stone.;;;The Walters;Good.;Number of blocks 6;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p029_d8585686;https://jenikirbyhistory.getarchive.net/media/south-arabian-head-stela-of-a-man-with-a-full-beard-walters-2130-5ac0fe;Six human statues.;Six human statues of marble stone, different sizes and shapes with clear and unclear facial glimpses.;A marble stone.;;;The Walters;Good.;Number of blocks 5;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p030_fbc5b747;https://jenikirbyhistory.getarchive.net/media/south-arabian-head-stela-of-a-man-with-a-full-beard-walters-2130-5ac0fe;Six human statues.;Six human statues of marble stone, different sizes and shapes with clear and unclear facial glimpses.;A marble stone.;;;The Walters;Good.;Number of blocks 4;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_21_p031_bcd0f28f;العصر البرنزي 3000 ق.م - 2500 ق.م;ارتفاع 41.28 cm;Freeman's | Hindman;ديج ًه;;https://hindmanauctions.com/new-noteworthy/property-from-the-esteemed-ernest-and-ella-brummer-collection-quadruples-estimate-selling-for-more-than-2-million;A human statue.;A human statue of a straight-up man, face features are clear;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p001_c637dc98;متحف تعز الوطني;جيدة;سجل رقم 1; الطابق الأولى.;;A book.;Printed Hebrew book, corrosive and clever, 428 pages of the National Museum &apos;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p001_4890a194;متحف تعز الوطني;جيدة;سجل رقم 1; الطابق الأول.;;A book.;A printed Hebrew book, a green cartoon, 228 pages of the National Museum &apos;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p001_e0dc0d07;"الطول: 37 سم؛ العرض: 26 سم";متحف تعز الوطني;جيدة;سجل رقم 1; الطابق الأول.;;A book.;A printed Hebrew book, his papers from large pieces, leather wrappers, 436 pages, from the contents of the National Museum, originating from the Imam's Palace.;Paper.;;Longitude: 37 cm;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p001_ec47e8a1;"الطول: 41.5 سم؛ العرض: 26.5 سم";متحف تعز الوطني;جيدة;سجل رقم 1; الطابق الأول.;;A book.;A printed Hebrew book, paper from large pieces, a corrosive leather envelope, 490 pages of the contents of the National Museum, originating from the Imam's Palace.;Paper.;;Longitude: 41.5 cm;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p002_9e2d521e;المصدر: قصر الإمام;;A printed Hebrew book.;An Hebrew book printed without a glove, out of large pieces, has a page number of 396 pages.;Paper.;;Longitude: 38 cm;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p002_e3630590;;A printed Hebrew book.;A Hebrew book printed in a clever leather coil, 434 pages.;Paper.;;Longitude: 25.5 cm;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p002_e3cdb25a;;A printed Hebrew book.;An Hebrew book printed of big pieces of paper with a carton glove covered with white cloth, 176 pages.;Paper.;;Longitude: 35.5 cm;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p002_b2a8870f;;Part of a printed Hebrew book.;Part of an Hebrew book printed without a golf, page number 64.;Paper.;;Longitude: 19 cm;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p003_774db7a1;Hebrew book.;A Hebrew book printed in leather, cliché, and corrosive. Number of pages 242.;Paper.;;Longitude: 33 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p003_11439fe5;Hebrew book.;A Hebrew book printed with a brown leather casing at its ends at the origin. Number of pages 1042.;Paper.;;Longitude: 17.8 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p003_25bd99fd;Hebrew book.;A Hebrew book printed in a leather coil, brown, cylindrical and corrosive, page number 334.;Paper.;;Longitude: 21 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p003_8be1f5b5;Hebrew book.;An Hebrew book printed in a cardboard galaxy, cheated with decorated black cloth. 324 pages.;Paper.;;Longitude: 25 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p004_d21f5939;مطبوع;;Hebrew book.;A Hebrew book printed with a brown skin, 340 pages.;Paper.;;Longitude: 20 cm, width: 15.5 cm;The imam's palace.;Good.;Print;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p004_ce290855;جيدة;مطبوع;;Hebrew book.;A Hebrew book printed in a green cartoon, one of its books missing, has 500 pages.;Paper.;;Longitude: 22 cm, width: 12 cm;The imam's palace.;Good.;Print;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p004_c368a65c;مطبوع;;Hebrew book.;An Hebrew book printed in a mules that is cheated on a brown skin, 712 pages.;Paper.;;Longitude: 18 cm, width: 12 cm;The imam's palace.;Good.;Print;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p004_19ffea81;;Hebrew book.;An Hebrew book printed in a cardboard envelope, covered with white cloth, has a page number of 542 pages.;Paper.;;Longitude: 19.5 cm;The imam's palace.;Good.;Print;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p005_333ded79;A book.;An Hebrew book printed in a worn-out leather coil, page number 528.;Paper.;;Longitude: 21 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p005_048182e0;A book.;A Hebrew book printed in a cardboard golf. The book is separated from the next 386 pages.;Paper.;;Longitude: 20 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p005_50bb0575;A book.;464 pages.;Paper.;;Longitude: 22 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p005_426c6f34;A book.;An Hebrew book printed in leather coils built 350 pages.;Paper.;;Longitude: 27 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p006_a0f02e39;المصدر: قصر الإمام;;A printed Hebrew book.;A Hebrew book printed in a clever leather coil, originally missing, has 422 pages.;Paper.;;Longitude: 27 cm;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p006_6a36e614;;A printed Hebrew book.;An Hebrew book printed with a vaporized and corrosive leather coil, 372 pages.;Paper.;;Presentation: 12.5 cm;Ta'izz National Museum;Good.;Source: Imam &apos;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p006_e7e6b5e7;;A printed Hebrew book.;An Hebrew book printed in leather coils with manual repair tracks (sewing), 346 pages.;Paper.;;Longitude: 27 cm;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p006_0f079e96;;A printed Hebrew book.;An Hebrew book printed in a cardboard envelope with a green cloth casing, 528 pages.;Paper.;;View: 15 cm;Ta'izz National Museum;Good.;Source: Imam &apos;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p007_b049e85a;Hebrew book.;An Hebrew book printed in a cardboard galley indexed to 434 pages.;Paper.;Print;Longitude: 19 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p007_6b0e0812;Hebrew book.;A 632-page Hebrew book printed in a cardboard envelope, cheated with white cloth.;Paper.;Print;Longitude: 21.5 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p007_1b448d85;Hebrew book.;A 560-page Hebrew book printed without a glove.;Paper.;Print;Longitude: 12 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p007_675b35ba;Hebrew book.;A 506-page Hebrew book printed in a cardboard galleon, cheated with a brown cloth planned by Al-Sud.;Paper.;Print;Longitude: 21 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p008_332d3090;A printed Hebrew book.;An Hebrew book printed in a black cardboard envelope, covered with a brown leather piece with 380 pages.;Paper.;;Longitude: 21.5 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_26_p008_efef1eea;A printed Hebrew book.;A 688-page Hebrew book printed without a glove.;Paper.;;Longitude: 21.5 cm;;;;;;;;;;;;;;;;;;;;
